iter,score,sil_mu,sil_sd,dunn_mu,dunn_sd,dbi_mu,dbi_sd,contamination,nu,kernel,gamma,degree,coef0,use_pca,pca_var,scaler
16,-2.263159618210906,-0.2287145422610997,0.0,0.020528998834994275,0.0,14.054611255579232,0.0,0.03,0.04231914632318909,poly,scale,4,0.0,False,0.95,standard
62,-2.293980541591168,-0.20387762400150292,2.7755575615628914e-17,0.02027855653151371,0.0,14.375572292819962,0.0,0.05,0.0157365066144374,poly,auto,3,0.5,True,0.95,robust
27,-2.3588399138971603,-0.22015240696782745,0.0,0.026116094195510236,0.0,14.741748350457057,0.0,0.04,0.09138240129221861,poly,auto,4,0.0,True,0.95,robust
34,-2.399797295851647,0.18720294013596508,2.7755575615628914e-17,0.022704684009626164,0.0,16.910103499661528,0.0,0.04,0.029420795883535196,sigmoid,scale,4,0.0,True,0.95,standard
1,-2.473299510586252,-0.21890112770448678,0.0,0.019502527609663322,0.0,15.499629020636846,0.0,0.04,0.054977334588070616,poly,scale,2,0.0,True,0.95,robust
11,-2.488759885327037,-0.23556175606488647,2.7755575615628914e-17,0.03040731820613383,0.0,15.543123237554331,1.7763568394002505e-15,0.02,0.048855618515698584,poly,scale,2,0.5,False,0.95,standard
29,-2.700325301386522,-0.2292730271942589,0.0,0.03040731820613383,0.0,16.98290674601383,0.0,0.02,0.09881711958240302,poly,auto,2,1.0,False,0.95,standard
74,-2.9130650645944693,0.2515884758985487,0.0,0.017210504377110684,0.0,20.62319749211821,0.0,0.05,0.03847600244428439,sigmoid,auto,2,0.5,False,0.95,standard
66,-2.978113996176728,-0.202448124594423,0.0,0.022416038512696048,0.0,18.946695457258706,0.0,0.04,0.09660431519655734,poly,scale,2,0.5,True,0.95,standard
23,-3.253316144864708,-0.21486252528416952,2.7755575615628914e-17,0.027038541711956465,0.0,20.731146750625193,0.0,0.03,0.06535223655879575,poly,scale,2,0.5,True,0.95,robust
45,-3.513334697221643,-0.20169381497394548,2.7755575615628914e-17,0.022379071578399978,0.0,22.518291964229874,0.0,0.04,0.019922409798977476,poly,scale,3,1.0,False,0.95,standard
61,-3.6333773780433174,-0.21389369998547425,0.0,0.022379071578399978,0.0,23.26164370632057,0.0,0.03,0.011885687711171359,poly,scale,3,1.0,False,0.98,standard
7,-3.7854975445027814,0.09125351937437202,0.0,0.032385162481728874,0.0,25.716475324568496,3.552713678800501e-15,0.05,0.016065617199329772,sigmoid,scale,4,0.0,True,0.98,standard
53,-4.091679732052665,-0.1996518052300514,2.7755575615628914e-17,0.01924633169801745,0.0,26.378233675440885,0.0,0.05,0.058810054574104854,poly,scale,4,0.5,True,0.98,standard
17,-4.870376431352455,-0.22207678207223572,0.0,0.03040731820613383,0.0,31.483496756356157,0.0,0.03,0.06050508784243981,poly,auto,4,0.5,False,0.98,standard
78,-7.098568627527394,-0.1954394015915344,0.0,0.021459759270377004,0.0,46.44750657487276,0.0,0.05,0.09268387668567665,poly,scale,4,1.0,True,0.95,robust
13,-7.929387642132159,-0.225683174122718,0.0,0.012921497413451383,1.734723475976807e-18,51.830931963997465,0.0,0.03,0.02633106918274044,poly,scale,4,0.5,True,0.98,robust
42,-8.076140093992379,-0.20404067346811858,0.0,0.0265162039875316,0.0,52.93293782374386,0.0,0.04,0.0736898770308547,poly,auto,2,1.0,True,0.98,standard
35,-9.07135864815411,-0.20731983496129894,2.7755575615628914e-17,0.025017155070389447,3.469446951953614e-18,59.54992701632532,0.0,0.04,0.04089733165674998,poly,scale,4,1.0,False,0.95,standard
63,-9.10308314591573,-0.2136155446910092,0.0,0.022379071578399978,0.0,59.727646883510836,0.0,0.03,0.02711745360962565,poly,scale,2,1.0,False,0.95,standard
