FID,Building's construction year,Number of floors,Number of apartments,Total electricity consumption (kWh),Latitude,Longitude,Area in m^2
1204,1960,7,8,64.766,35.52712588,33.8880310099999,246.800886703
1205,1950,5,6,64.384,35.5266868599999,33.8880098599999,239.149171507
1206,1950,5,14,71.363,35.52699612,33.88756232,190.937133713999
1207,1950,4,10,56.274,35.5269328899999,33.8873676199999,257.282025256999
1208,1950,6,16,77.4989999999999,35.52684422,33.88719803,180.642933061999
1209,1940,2,2,9.40199999999999,35.5281415999999,33.8881641099999,116.393026124
1210,1940,3,3,17.372,35.5280440299999,33.88792292,123.625487845999
1211,1950,4,4,5.631,35.5282681799999,33.88784777,129.174921538
1212,1950,4,8,17.466,35.52829039,33.88799688,142.191584019999
1213,1920,2,2,33.779,35.52834132,33.8881123299999,122.102124438999
1214,1920,2,2,12.935,35.5284872399999,33.88786669,194.802175323999
1215,1950,3,8,25.474,35.5284572799999,33.88779926,194.802175323999
1216,1980,12,26,9.369,35.5270659299999,33.8866087299999,327.207794606999
1217,1940,3,3,20.783,35.52709344,33.8863930799999,119.807060491
1218,1940,4,4,9.52699999999999,35.52693818,33.88643486,106.592251306999
1219,1920,1,1,30.045,35.52674563,33.8865249799999,347.66097006
1220,1920,2,2,5.481,35.52663582,33.8868694399999,109.061931246
1221,1950,4,7,32.832,35.52668336,33.88697632,143.164730087999
1222,1920,2,2,22.689,35.5258423699999,33.8873649399999,266.879869206
1223,1920,2,2,7.443,35.52583311,33.8867284,179.323133764
1224,1960,6,14,87.197,35.5293849899999,33.88749318,348.955793307
1225,1960,7,1,135.055,35.52871152,33.8874534699999,271.431818863999
1226,1960,6,14,92.4069999999999,35.5290366899999,33.8876252,383.076690846
1227,1920,2,2,28.594,35.52863524,33.88858365,66.8234687477
1228,1920,1,1,7.222,35.52879218,33.8885758899999,55.1776445978999
1229,1920,1,3,12.032,35.5282268799999,33.8886296299999,68.2611860739
1230,1920,1,2,6.308,35.5282996899999,33.88866988,71.2646996821
1231,1920,4,4,8.07,35.52834664,33.88860452,70.6291810544999
1232,1920,3,3,8.573,35.5280524,33.88863457,70.8419681527
1233,1920,1,1,2.807,35.52899181,33.88814215,60.772080594
1234,1920,4,4,14.291,35.52896999,33.8880448299999,95.7346990065999
1235,1920,3,3,19.411,35.5289265799999,33.88810482,95.7686716684
1236,1920,3,3,16.581,35.5288700899999,33.88816603,101.895412981999
